"Time differences (ps)"	"Counts per bin"
11050	16897
11100	16802
11150	17092
11200	16651
11250	16825
11300	17002
11350	16655
11400	16789
11450	16793
11500	16788
11550	16675
11600	16704
11650	16744
11700	16796
11750	16782
11800	16814
11850	16894
11900	16689
11950	16845
12000	16933
12050	16759
12100	16776
12150	16619
12200	16755
12250	16884
12300	16967
12350	16804
12400	16538
12450	16816
12500	16962
12550	16717
12600	16798
12650	16748
12700	16963
12750	16498
12800	16665
12850	17005
12900	16839
12950	16726
13000	16780
13050	16861
13100	16673
13150	16781
13200	16696
13250	16909
13300	16785
13350	16910
13400	16759
13450	16618
13500	16643
13550	17269
13600	16445
13650	16736
13700	16923
13750	16738
13800	16609
13850	17066
13900	16901
13950	16691
14000	16782
14050	16744
14100	16855
14150	16584
14200	16825
14250	16766
14300	16843
14350	16714
14400	16643
14450	16826
14500	16774
14550	16656
14600	16978
14650	16702
14700	16876
14750	16653
14800	16889
14850	16842
14900	16661
14950	16988
15000	17382
15050	16639
15100	16703
15150	16935
15200	16819
15250	16991
15300	16938
15350	16816
15400	16638
15450	16786
15500	16936
15550	17027
15600	16965
15650	16771
15700	16751
15750	16749
15800	16948
15850	16574
15900	16857
15950	17247
16000	17015
16050	16720
16100	16496
16150	17037
16200	17025
16250	16799
16300	16947
16350	16872
16400	16726
16450	16783
16500	17017
16550	16775
16600	16770
16650	17198
16700	16941
16750	16524
16800	16941
16850	16965
16900	16797
16950	16938
17000	16735
17050	16967
17100	17094
17150	16776
17200	16834
17250	16778
17300	16814
17350	16893
17400	17008
17450	16985
17500	16825
17550	16979
17600	16761
17650	16959
17700	16456
17750	16786
17800	17125
17850	16919
17900	16844
17950	16953
18000	16727
18050	16697
18100	16634
18150	17096
18200	16433
18250	16628
18300	16960
18350	17126
18400	16524
18450	16691
18500	16799
18550	16759
18600	17070
18650	16978
18700	16553
18750	16512
18800	16814
18850	17002
18900	16999
18950	16681
19000	16715
19050	16946
19100	16865
19150	16832
19200	16574
19250	16673
19300	17014
19350	17001
19400	16914
19450	16769
19500	16827
19550	16868
19600	16899
19650	16627
19700	16547
19750	17084
19800	17184
19850	16789
19900	16772
19950	16886
20000	17178
20050	16847
20100	16466
20150	16877
20200	16996
20250	16711
20300	16575
20350	16866
20400	16891
20450	16847
20500	16893
20550	16664
20600	16767
20650	17204
20700	16919
20750	16852
20800	16726
20850	16717
20900	17083
20950	16727
21000	16733
21050	16808
21100	17052
21150	16763
21200	16669
21250	16827
21300	16900
21350	16918
21400	16837
21450	16799
21500	17012
21550	17104
21600	16952
21650	16684
21700	16681
21750	16925
21800	16871
21850	16714
21900	17074
21950	16932
22000	16950
22050	16451
22100	16829
22150	16928
22200	16910
22250	16876
22300	17167
22350	16414
22400	16649
22450	16786
22500	16915
22550	17092
22600	17094
22650	16505
22700	16610
22750	17000
22800	17011
22850	17035
22900	16794
22950	16894
23000	16840
23050	16875
23100	16760
23150	16745
23200	16858
23250	16692
23300	17112
23350	16848
23400	16830
23450	16928
23500	16777
23550	16781
23600	16972
23650	16893
23700	16686
23750	16812
23800	17067
23850	17035
23900	16633
23950	16847
24000	16921
24050	16848
24100	16617
24150	16823
24200	16832
24250	16697
24300	16984
24350	16908
24400	16702
24450	16819
24500	17113
24550	16560
24600	16567
24650	16981
24700	16784
24750	16749
24800	16711
24850	16766
24900	16908
24950	17166
25000	16524
25050	16533
25100	17076
25150	16834
25200	16617
25250	16784
25300	16889
25350	16663
25400	16616
25450	16790
25500	16695
25550	16907
25600	16948
25650	16763
25700	16613
25750	16667
25800	17102
25850	16801
25900	16878
25950	16754
26000	16940
26050	16586
26100	16799
26150	16678
26200	16860
26250	16705
26300	17025
26350	16862
26400	16877
26450	16702
26500	17135
26550	16691
26600	16766
26650	17004
26700	16740
26750	16522
26800	16752
26850	16768
26900	16769
26950	16949
27000	17057
27050	16915
27100	16872
27150	16801
27200	16743
27250	16799
27300	17015
27350	16997
27400	16738
27450	16898
27500	16813
27550	16567
27600	16751
27650	16896
27700	16927
27750	17002
27800	16751
27850	16753
27900	16621
27950	17026
28000	17042
28050	16683
28100	16465
28150	16952
28200	16845
28250	16636
28300	16637
28350	17087
28400	16989
28450	16910
28500	16648
28550	16703
28600	16785
28650	16775
28700	17175
28750	16743
28800	16784
28850	16999
28900	16869
28950	16839
29000	16933
29050	16695
29100	16805
29150	16917
29200	16997
29250	16715
29300	16655
29350	16964
29400	16619
29450	16907
29500	16949
29550	16748
29600	17012
29650	17016
29700	16710
29750	16781
29800	16953
29850	16858
29900	16729
29950	17032
30000	16969
30050	16705
30100	16651
30150	16716
30200	16657
30250	17051
30300	16999
30350	16755
30400	16678
30450	16873
30500	16963
30550	16718
30600	16886
30650	16655
30700	16806
30750	16948
30800	16919
30850	16743
30900	16755
30950	16632
31000	16859
31050	16842
31100	16480
31150	16916
31200	16881
31250	17083
31300	16622
31350	16872
31400	16899
31450	16519
31500	16597
31550	16754
31600	16776
31650	16724
31700	16772
31750	16540
31800	17057
31850	16681
31900	16708
31950	16662
32000	16895
32050	16611
32100	16807
32150	16677
32200	16652
32250	16924
32300	16652
32350	16388
32400	16733
32450	17173
32500	16787
32550	16658
32600	16757
32650	16725
32700	16631
32750	16947
32800	16623
32850	16893
32900	16850
32950	17101
33000	16747
33050	16778
33100	16743
33150	16647
33200	16800
33250	17085
33300	16760
33350	16845
33400	16719
33450	16926
33500	16679
33550	16680
33600	16894
33650	16880
33700	16712
33750	16838
33800	16911
33850	16585
33900	16655
33950	16849
34000	16727
34050	16818
34100	16677
34150	16716
34200	16715
34250	16575
34300	16658
34350	16714
34400	17169
34450	16709
34500	16606
